time,Charging Current (mA),Discharging Current (mA),Pack Voltage (mV),String 1 Voltage(mV),String 2 Voltage(mV),String 3 Voltage(mV),String 4 Voltage(mV),Temp (C),State Of Charge (%)
1617561000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617561120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617561240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617561360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617561480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617561600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617561720000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617561840000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617561960000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617562080000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617562200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617562320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617562440000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617562560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617562680000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617562800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617562920000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617563040000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617563160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617563280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617563400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617563520000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617563640000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617563760000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617563880000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617564000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617564120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617564240000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617564360000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617564480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617564600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617564720000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617564840000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617564960000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617565080000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617565200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617565320000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617565440000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617565560000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617565680000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617565800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617565920000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617566040000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617566160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1617566280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
